"observation_date","unemployment_rate","inflation_rate"
2015-02-01,5.5,0.434304492377206
2015-03-01,5.4,0.595172161109732
2015-04-01,5.4,0.203287325458769
2015-05-01,5.6,0.509723202549469
2015-06-01,5.3,0.350286999852812
2015-07-01,5.2,0.0067047159295661
2015-08-01,5.1,-0.141627628281935
2015-09-01,5,-0.155675657530359
2015-10-01,5,-0.0449683750446447
2015-11-01,5.1,-0.211068037908146
2015-12-01,5,-0.341709643711866
2016-01-01,4.8,0.165310220906868
2016-02-01,4.9,0.0823076533454985
2016-03-01,5,0.430600014339268
2016-04-01,5.1,0.4741067979104
2016-05-01,4.8,0.404579099811517
2016-06-01,4.9,0.328436616728188
2016-07-01,4.8,-0.161813640474981
2016-08-01,4.9,0.0918430107884498
2016-09-01,5,0.240399586462898
2016-10-01,4.9,0.124674851301432
2016-11-01,4.7,-0.155546086733514
2016-12-01,4.7,0.0327321392317517
2017-01-01,4.7,0.582772789025459
2017-02-01,4.6,0.314611738641666
2017-03-01,4.4,0.0812797871947232
2017-04-01,4.4,0.296553336532688
2017-05-01,4.4,0.0854721826896363
2017-06-01,4.3,0.0907111014861139
2017-07-01,4.3,-0.0689922638852295
2017-08-01,4.4,0.299445229710857
2017-09-01,4.3,0.529490589323034
2017-10-01,4.2,-0.0632042103727646
2017-11-01,4.2,0.0024324685907436
2017-12-01,4.1,-0.05878322772623
2018-01-01,4,0.544774545277541
2018-02-01,4.1,0.45346899748655
2018-03-01,4,0.226112590414904
2018-04-01,4,0.397509156334893
2018-05-01,3.8,0.4158916925435
2018-06-01,4,0.159387570154372
2018-07-01,3.8,0.0067463262285171
2018-08-01,3.8,0.0555542328357295
2018-09-01,3.7,0.116202517589025
2018-10-01,3.8,0.176676345572587
2018-11-01,3.8,-0.334934851810097
2018-12-01,3.9,-0.319396281513109
2019-01-01,4,0.190659666524684
2019-02-01,3.8,0.422705314009692
2019-03-01,3.8,0.564135835680577
2019-04-01,3.7,0.529500161289074
2019-05-01,3.6,0.212875858938411
2019-06-01,3.6,0.0199147181481604
2019-07-01,3.7,0.167094162245338
2019-08-01,3.6,-0.0050668236082818
2019-09-01,3.5,0.0783448576930001
2019-10-01,3.6,0.228619055223
2019-11-01,3.6,-0.0536243034669465
2019-12-01,3.6,-0.0909769525053793
2020-01-01,3.6,0.387976993781487
2020-02-01,3.5,0.274061813149543
2020-03-01,4.4,-0.217645103178479
2020-04-01,14.8,-0.668694186699718
2020-05-01,13.2,0.0019501616684046
2020-06-01,11,0.547204692777511
2020-07-01,10.2,0.505824350167009
2020-08-01,8.4,0.315321052408127
2020-09-01,7.8,0.13927469432666
2020-10-01,6.9,0.0414937759336148
2020-11-01,6.7,-0.0610627217844138
2020-12-01,6.7,0.0941478467042597
2021-01-01,6.4,0.425378348702726
2021-02-01,6.2,0.547438279392344
2021-03-01,6.1,0.708327313374951
2021-04-01,6.1,0.821890915406006
2021-05-01,5.8,0.80171051547627
2021-06-01,5.9,0.929066290235704
2021-07-01,5.4,0.481052352629404
2021-08-01,5.1,0.206591136361161
2021-09-01,4.7,0.271597085905821
2021-10-01,4.5,0.830811855200318
2021-11-01,4.1,0.491342750434762
2021-12-01,3.9,0.307251716148357
2022-01-01,4,0.841457378354523
2022-02-01,3.9,0.913397925647697
2022-03-01,3.7,1.33513795485627
2022-04-01,3.7,0.558253102565497
2022-05-01,3.6,1.10235239995988
2022-06-01,3.6,1.37360757588199
2022-07-01,3.5,-0.0118119138337545
2022-08-01,3.6,-0.0354399276350673
2022-09-01,3.5,0.215078451300104
2022-10-01,3.6,0.405649443411221
2022-11-01,3.6,-0.101002644188814
2022-12-01,3.5,-0.307009146454112
2023-01-01,3.5,0.799536383454017
2023-02-01,3.6,0.55821105057323
2023-03-01,3.5,0.331072995612305
2023-04-01,3.4,0.50590386832584
2023-05-01,3.6,0.251843501020241
2023-06-01,3.6,0.322891423648645
2023-07-01,3.5,0.19075150192227
2023-08-01,3.7,0.436715506835353
2023-09-01,3.7,0.24851315523765
2023-10-01,3.9,-0.0383379522984981
2023-11-01,3.7,-0.201513954841356
2023-12-01,3.8,-0.0993320327893392
2024-01-01,3.7,0.544750379793042
2024-02-01,3.9,0.618967177555072
